City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,Kodiak,US,57.79,-152.41,30.2,54,75,13.87,broken clouds
73,Yuli,NG,9.7,10.27,80.64,28,7,4.16,clear sky
74,Sitka,US,57.05,-135.33,44.6,93,90,7.92,moderate rain
75,Yellowknife,CA,62.46,-114.35,17.6,85,90,8.05,light snow
76,Srednekolymsk,RU,67.45,153.68,-4.32,91,94,7.81,overcast clouds
77,Dwarka,IN,22.24,68.97,81.19,56,0,13.15,clear sky
78,Igrim,RU,63.19,64.42,27.68,96,0,6.62,clear sky
79,San Quintin,MX,30.48,-115.95,77.5,37,0,11.16,clear sky
80,Upernavik,GL,72.79,-56.15,16.34,93,96,4.03,overcast clouds
81,Port Elizabeth,ZA,-33.92,25.57,64.4,82,23,13.87,few clouds
82,Alexandria,EG,31.22,29.96,72.32,62,87,12.17,overcast clouds
83,Hilo,US,19.73,-155.09,81.0,83,90,6.93,moderate rain
84,Ganzhou,CN,28.82,115.43,59.05,77,100,4.54,light rain
85,Los Llanos De Aridane,ES,28.66,-17.92,78.8,24,0,6.93,clear sky
86,Hithadhoo,MV,-0.6,73.08,83.23,73,100,11.05,light rain
87,Hamilton,US,39.18,-84.53,50.0,37,1,20.8,clear sky
88,Vardo,NO,70.37,31.11,39.2,86,75,14.99,broken clouds
89,Nemuro,JP,43.32,145.57,57.0,81,100,21.85,moderate rain
90,Zeltweg,AT,47.18,14.75,46.4,93,100,2.01,overcast clouds
91,Katsuura,JP,35.13,140.3,59.0,72,40,1.12,scattered clouds
92,Winnipeg,CA,49.88,-97.15,30.99,58,96,6.93,overcast clouds
93,Dakar,SN,14.69,-17.44,82.4,65,0,2.24,clear sky
94,Kaitangata,NZ,-46.28,169.85,51.01,60,52,10.0,broken clouds
95,Mogadishu,SO,2.04,45.34,79.84,80,100,10.94,light rain
96,Clyde River,CA,70.47,-68.59,14.0,78,90,4.7,overcast clouds
97,Danesti,RO,46.52,25.75,39.99,96,1,2.17,clear sky
98,Shingu,JP,33.73,135.98,58.37,85,0,5.01,clear sky
99,Norman Wells,CA,65.28,-126.83,6.8,65,40,9.17,scattered clouds
100,Faanui,PF,-16.48,-151.75,79.9,80,33,23.73,light rain
101,Yulara,AU,-25.24,130.99,77.0,20,31,10.29,scattered clouds
102,Kashi,CN,39.45,75.98,42.8,38,0,8.95,clear sky
103,Fairbanks,US,64.84,-147.72,0.0,76,75,4.7,broken clouds
104,Caravelas,BR,-17.71,-39.25,69.69,92,100,12.57,overcast clouds
105,Colares,PT,38.8,-9.45,64.99,88,40,3.36,light rain
106,Banda Aceh,ID,5.56,95.32,79.23,79,100,8.86,overcast clouds
107,Korla,CN,41.76,86.15,34.0,64,0,8.99,clear sky
108,Sal Rei,CV,16.18,-22.92,78.8,78,40,13.87,scattered clouds
109,Surgut,RU,61.25,73.42,32.0,97,40,11.18,scattered clouds
110,Port Hawkesbury,CA,45.62,-61.35,48.99,57,20,17.22,few clouds
111,Airai,TL,-8.93,125.41,60.37,79,98,2.17,overcast clouds
112,Onega,RU,63.91,38.14,34.25,89,100,6.2,overcast clouds
113,Kapaa,US,22.08,-159.32,80.01,88,1,0.74,clear sky
114,Hualmay,PE,-11.1,-77.61,68.34,66,70,9.86,broken clouds
115,Zelenoborskiy,RU,66.84,32.36,41.02,90,100,12.06,overcast clouds
116,Puerto Quijarro,BO,-17.78,-57.77,92.48,30,32,7.65,scattered clouds
117,San Cristobal,VE,7.77,-72.22,86.0,58,40,4.7,scattered clouds
118,Memaliaj,AL,40.35,19.98,55.99,74,24,3.0,few clouds
119,Kiruna,SE,67.86,20.23,37.4,100,100,10.29,light intensity drizzle
120,Bengkulu,ID,-3.8,102.27,75.18,87,100,3.85,overcast clouds
121,Thompson,CA,55.74,-97.86,21.2,85,90,11.41,overcast clouds
122,Kavieng,PG,-2.57,150.8,82.81,72,14,7.36,few clouds
123,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,18.34,scattered clouds
124,Coquimbo,CL,-29.95,-71.34,59.0,72,20,13.87,few clouds
125,Olafsvik,IS,64.89,-23.71,37.09,79,83,14.52,broken clouds
126,Carnarvon,AU,-24.87,113.63,68.0,68,75,17.22,broken clouds
127,Castro,BR,-24.79,-50.01,64.69,62,27,8.52,scattered clouds
128,Opuwo,NA,-18.06,13.84,75.47,29,57,9.4,broken clouds
129,Palmeira Das Missoes,BR,-27.9,-53.31,72.45,44,9,10.29,clear sky
130,Adrar,MR,20.5,-10.07,82.47,15,100,9.71,overcast clouds
131,Saldanha,ZA,-33.01,17.94,69.8,52,0,8.05,clear sky
132,Hasaki,JP,35.73,140.83,55.4,100,20,3.36,fog
133,Diffa,NE,13.32,12.61,81.59,21,93,9.26,overcast clouds
134,Viedma,AR,-40.81,-63.0,87.01,17,0,4.0,clear sky
135,Arlit,NE,18.74,7.39,78.94,20,100,19.3,overcast clouds
136,Mahebourg,MU,-20.41,57.7,69.8,64,20,9.17,few clouds
137,Tairua,NZ,-37.02,175.85,64.51,63,100,0.96,overcast clouds
138,San Juan,AR,-31.54,-68.54,89.15,12,0,11.07,clear sky
139,Bereda,ES,43.27,-7.54,64.99,88,95,15.99,overcast clouds
140,Mwinilunga,ZM,-11.74,24.43,67.82,39,15,3.18,few clouds
141,Lompoc,US,34.64,-120.46,82.0,31,1,8.05,clear sky
142,Ulaanbaatar,MN,47.91,106.88,1.4,77,0,4.47,clear sky
143,East London,ZA,-33.02,27.91,66.25,83,81,15.23,light rain
144,Bolivar,US,37.61,-93.41,54.0,29,0,5.99,clear sky
145,Cabo San Lucas,MX,22.89,-109.91,91.4,17,20,9.17,few clouds
146,Yangliuqing,CN,39.14,117.0,44.6,43,0,6.71,clear sky
147,Alugan,PH,12.22,125.48,76.75,88,98,3.13,overcast clouds
148,Ponta Do Sol,PT,32.67,-17.1,69.8,83,20,5.82,few clouds
149,Deputatskiy,RU,69.3,139.9,-14.78,88,92,6.44,overcast clouds
150,Tigil,RU,57.8,158.67,31.84,93,100,6.67,overcast clouds
151,Stornoway,GB,58.21,-6.39,50.0,81,100,36.91,overcast clouds
152,Inta,RU,66.03,60.17,28.18,97,100,14.94,overcast clouds
153,Kruisfontein,ZA,-34.0,24.73,64.99,74,28,5.01,scattered clouds
154,Souillac,MU,-20.52,57.52,69.8,64,20,9.17,few clouds
155,Baherden,TM,38.44,57.43,66.7,23,6,4.97,clear sky
156,Port Lincoln,AU,-34.73,135.87,62.29,66,65,10.54,light rain
157,Lavrentiya,RU,65.58,-171.0,21.83,88,0,3.78,clear sky
158,Sobolevo,RU,54.43,31.9,41.59,87,100,9.98,overcast clouds
159,Victoria,HK,22.29,114.16,75.0,73,100,10.36,overcast clouds
160,Palmer,US,42.16,-72.33,51.8,66,90,9.17,light rain
161,Port Keats,AU,-14.25,129.55,81.73,74,98,4.07,overcast clouds
162,Tuatapere,NZ,-46.13,167.68,48.99,87,16,8.99,few clouds
163,Matamoros,MX,25.53,-103.25,82.27,15,0,16.64,clear sky
164,Ancud,CL,-41.87,-73.82,69.01,59,19,8.05,smoke
165,Syracuse,IT,37.09,15.28,62.6,82,0,5.82,clear sky
166,Yumen,CN,40.28,97.2,27.86,90,0,1.57,clear sky
167,Seoul,KR,37.57,126.98,46.4,100,40,4.9,mist
168,Khatanga,RU,71.97,102.5,2.75,92,100,5.3,overcast clouds
