City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Tiznit,MA,71.87,clear sky,29.58,-9.5,
569,Henderson,US,81.0,clear sky,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
570,Toucheng,TW,75.2,few clouds,24.86,121.82,和風時尚VILLA會館
571,Umm Lajj,SA,80.28,broken clouds,25.02,37.27,Moon light Furnished Units
575,Jacqueville,CI,82.4,thunderstorm,5.21,-4.41,Hotel Le Martin Pecheur
586,Moa,CU,83.7,overcast clouds,20.66,-74.94,Renta en Divisa
587,Manta,EC,82.4,scattered clouds,-0.95,-80.73,Balandra Hotel
588,Luganville,VU,78.8,broken clouds,-15.53,167.17,The Espiritu Hotel
591,Labuan,MY,78.8,few clouds,5.28,115.24,Tiara Labuan Hotel
594,Atar,MR,84.99,overcast clouds,20.52,-13.05,Oumou Elghoura
602,Dohar,BD,77.0,haze,23.59,90.15,SRS Wifi Office
605,Madang,PG,76.55,light rain,-5.22,145.8,Comfort Inn Hotel
610,Pirenopolis,BR,77.0,scattered clouds,-15.85,-48.96,Hotel Pousada Mandala
617,Jaguarari,BR,80.31,broken clouds,-10.26,-40.2,Hotel Quintal De Casa
626,Mana,GF,84.43,overcast clouds,5.66,-53.78,LE SAMANA
630,Malidong,PH,78.55,light rain,13.01,123.46,BLUE HUT PRIVATE RESORT
632,Innisfail,AU,70.09,few clouds,-17.53,146.03,Moondarra Motel
634,Kaberamaido,UG,70.29,broken clouds,1.74,33.16,"Little Orchard, Kaberamaido"
635,Meulaboh,ID,76.37,overcast clouds,4.14,96.13,Kost Pria
637,Wajir,KE,82.99,broken clouds,1.75,40.06,Al- Amin lodge
639,Lamar,US,70.0,clear sky,33.67,-95.58,Kings Inn Paris TX
640,Inhambane,MZ,75.2,scattered clouds,-23.86,35.38,Oceano
641,Manggar,ID,78.42,light rain,-2.88,108.27,Guest Hotel
643,Nioro,GM,83.46,clear sky,13.35,-15.75,
645,Savannah Bight,HN,84.2,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
646,Gamba,GA,76.08,overcast clouds,-2.65,10.0,
647,Cerrito,CO,77.0,broken clouds,6.84,-72.69,Finca Lulu
653,Fria,GN,74.19,scattered clouds,10.42,-13.58,
654,Dabakala,CI,79.41,clear sky,8.37,-4.43,Hôtel Campement
658,Beira,MZ,75.2,few clouds,-19.84,34.84,Beira Terrace Hotel
662,Tarakan,ID,76.39,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
664,Muheza,TZ,71.13,light rain,-5.17,38.78,Golden Land Motel
667,Puerto Del Rosario,ES,71.6,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
670,Marakkanam,IN,79.86,broken clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
675,Gonbad-E Qabus,IR,72.32,overcast clouds,37.25,55.17,Samin Building
678,Muisne,EC,82.4,scattered clouds,0.6,-80.03,Quinta Samay
